num_commits,issues_resolved,slack_msgs,jira_tickets,team_velocity,productivity_score
27,6,53,10,21,29.68383895583616
17,5,77,6,30,16.91988246217127
25,9,28,8,32,14.827221630574018
15,7,38,7,29,14.366700341139438
29,8,63,8,20,11.246736932112828
21,10,34,8,28,11.458447854490899
14,8,50,10,27,20.42206824488452
26,12,45,9,23,11.229479763626125
23,11,43,5,34,17.70026193179984
18,6,48,8,36,25.697926513198286
20,8,46,6,24,11.252330287028165
24,9,60,13,34,24.88561632216029
23,8,63,4,30,20.408778208425694
26,7,54,9,27,24.64332277370393
18,10,47,10,35,27.4617728897745
21,10,52,4,28,13.230653832843124
19,8,58,6,28,17.0612324221045
17,13,60,8,25,18.78813774262301
7,7,53,4,28,17.50260114469864
25,13,65,11,30,13.091880841551074
14,8,43,16,30,24.137162343997467
24,11,61,8,29,27.018745241802947
22,15,57,9,27,22.72651123939606
20,12,43,3,29,19.199954447357577
20,10,52,6,27,12.059131246171567
24,13,53,7,35,10.223673616215425
19,11,48,5,26,16.57431873316687
25,6,48,9,21,10.630194931335987
19,5,34,9,23,15.318948641256252
15,4,43,9,37,19.50986126147969
21,9,47,7,34,26.191658639921076
22,11,44,5,25,18.284905689676492
30,3,41,9,29,14.804974664756724
21,4,60,7,25,20.418796367236254
19,10,48,9,28,25.450717515934986
18,9,71,6,38,24.980005715765145
10,9,52,4,35,22.586412590260522
25,7,60,9,29,19.877763968670827
20,12,47,8,17,16.87163375410562
20,7,43,7,30,5.8463505589903875
15,10,52,9,30,17.270787525172945
19,5,62,9,29,27.413409022854452
22,8,49,7,25,9.78040508707116
18,10,54,7,35,23.773114532483675
20,9,52,9,26,23.688734530561884
22,12,49,4,33,33.177403743501564
12,11,49,6,32,7.880474788962795
29,11,40,8,28,28.710946090838515
18,9,49,17,34,23.43234624780785
19,12,56,10,25,20.413548317086637
29,9,52,6,30,27.03369132948378
15,11,51,11,39,19.60263093211294
13,11,57,8,24,10.517435404354673
13,7,51,7,29,12.160192258577315
12,9,50,14,31,16.24417206498495
25,11,57,5,31,18.69113642126371
25,10,51,8,31,13.597021846450867
14,4,47,10,25,25.465954509639836
23,12,54,8,30,35.77571593788335
17,9,49,10,27,19.995774018716183
23,13,47,14,39,22.859013555770108
18,11,51,5,29,13.431818292860317
18,9,51,6,20,12.994290863043625
26,15,38,10,31,21.99780592554154
23,16,53,8,36,26.711442475350132
20,2,68,7,30,11.202681746238955
18,8,40,10,26,15.519704270023428
27,9,44,10,26,17.00292554745672
30,10,77,9,30,42.61630135259617
22,13,41,6,35,13.683587639661278
17,7,62,2,34,12.449180912772757
22,8,47,6,30,23.649225926178875
24,10,50,10,25,15.799182779614412
13,9,48,6,29,17.71358067309721
11,20,54,8,30,24.51909846387331
19,13,34,6,27,25.865171643113115
18,9,51,7,21,18.574814824940855
22,7,45,9,32,10.72187502855043
12,12,31,9,35,20.284522172760404
23,9,61,11,39,13.358223437887798
18,5,28,10,26,8.310328386577119
18,6,71,6,25,27.92443369562664
24,14,56,8,30,15.170427660810184
19,9,36,7,32,14.821870039430364
13,8,63,5,27,17.454986663044245
11,7,42,8,28,13.866637668070723
14,5,42,8,39,21.42210767660041
23,10,31,10,21,15.694290505671933
32,9,41,11,27,22.073376721388748
17,9,42,8,24,25.22123445241187
12,14,58,5,28,13.600545037047342
22,4,61,12,21,23.064033302924997
19,11,37,8,41,13.403732161155238
21,13,52,5,27,20.147981247689575
9,11,31,7,33,10.777106287163086
19,18,52,12,39,23.05488700708619
17,11,71,7,33,28.010538596630262
19,12,32,8,29,18.099228512035364
21,9,39,10,30,17.414482084251393
23,11,57,12,26,21.405703514301624
17,7,58,6,27,17.556552628780732
22,9,40,9,40,12.454122378385915
27,10,64,12,32,31.554011536908934
30,7,41,4,27,18.423993941564866
21,14,66,9,40,22.55086582920554
28,6,54,9,28,25.41210762773644
9,7,62,5,35,14.851585994606324
18,9,53,11,33,28.08085417600685
21,11,56,4,29,35.4446513043486
25,12,57,6,26,13.466154452770514
19,10,61,8,33,16.610595349240754
25,11,49,12,39,28.9968265965044
19,11,41,4,28,20.480053616804383
30,6,49,6,33,21.93509352178354
16,13,43,2,25,17.85580020488125
22,7,43,10,32,15.903584441919461
14,9,66,11,33,25.30627495343399
20,12,56,7,28,31.301163176595676
20,13,55,7,26,21.3842641211398
21,8,60,8,33,11.401251710423644
26,8,56,8,34,19.561070455652285
14,8,68,9,31,22.265095205328652
24,9,29,10,33,25.138539118873723
23,11,40,7,39,20.408994096623005
14,7,42,6,35,18.66252985536913
18,8,36,13,24,19.738040129955962
18,5,51,10,29,24.563703303723045
27,5,51,8,27,22.142764641061603
20,12,69,9,28,22.335272219977963
19,14,59,9,28,16.111514971242116
20,8,44,7,37,5.721738928800212
20,6,54,9,22,23.08198897034682
22,11,31,10,26,14.658491448275987
12,12,51,11,28,27.336119452437472
14,15,50,7,24,19.546994716933668
14,7,40,4,24,3.3324513772397353
15,10,47,6,26,20.362205760488937
27,8,43,9,32,18.116051849854692
22,5,40,7,28,12.426898080591425
15,10,56,10,34,18.652484715774513
15,14,60,12,28,18.727947678171923
15,10,55,8,31,17.59862769195729
14,7,45,9,34,2.0546802584374166
16,13,43,8,32,18.090053986331334
20,7,45,12,27,17.284786766391946
22,9,47,16,30,35.225534480583306
11,5,41,3,32,9.378503171201192
24,9,60,17,31,21.208652717693482
15,16,47,3,34,20.006597220657778
18,14,57,3,27,19.861494340556092
22,9,36,12,32,22.038565975909155
19,5,43,7,32,17.623101914478557
20,8,58,9,27,14.498660810235279
13,13,58,6,32,24.364616594981598
20,6,37,7,31,17.00910038210483
17,10,53,8,30,16.628331566626258
16,10,53,12,28,15.836693858929024
14,12,42,9,20,15.834574049625257
21,7,53,9,26,26.676356921908127
24,9,34,9,27,12.459008578021164
13,6,40,6,34,24.65062918340402
21,8,55,5,23,19.946597956532074
19,11,50,8,26,18.654112102731577
17,3,50,7,30,17.66830754388772
22,14,48,10,31,23.94738360748225
21,18,55,8,22,25.34287539917583
13,8,55,6,42,15.505469671647944
16,12,57,6,38,30.924931402688102
15,11,51,8,28,22.183484563075176
12,12,46,10,30,15.629555183999425
13,13,44,10,31,18.692516113268844
25,9,39,8,21,16.6040349121446
15,11,45,7,30,11.936538387420816
28,9,43,16,31,23.622351177810085
21,8,66,8,31,19.329999296279922
24,6,39,9,33,20.616619565243063
18,9,60,12,24,24.165253971363768
20,7,47,9,22,20.77476609126881
14,8,47,7,31,10.696567105346322
17,3,54,6,35,17.062032192303352
15,11,35,5,25,9.598768475207194
20,8,42,3,30,11.918313782195437
18,6,37,8,32,10.92227273973827
17,10,46,9,30,13.453266451665261
16,8,40,6,32,12.02649640987968
24,7,63,7,25,9.44211815468862
20,11,44,5,25,17.469332864768358
18,11,26,5,30,12.212540908987503
14,6,46,6,44,14.437581855030734
29,4,58,7,30,19.907518591189785
21,11,66,8,36,23.732653448359628
16,20,47,8,25,26.594690227114135
15,15,44,9,26,15.204095218748996
22,16,49,4,26,17.548403763952532
18,13,54,3,27,13.403600931002426
18,14,38,4,22,18.199791613156876
19,9,47,5,32,25.697783793322387
19,13,49,9,33,14.614102790494249
23,9,50,13,29,24.03263740405146
18,13,48,10,30,24.636738171901595
27,9,40,16,35,25.11660163831004
22,7,53,11,31,23.479710154987863
22,14,49,6,23,16.008697629786166
15,13,49,5,27,13.403796986567775
16,11,39,8,31,26.99394378432902
18,12,56,6,31,17.387507990927045
14,6,40,4,36,15.029858908444512
24,13,66,8,25,23.96697272812648
16,14,38,16,29,20.595020547870945
23,9,57,12,29,26.609202900129503
23,8,30,6,23,6.937238273614101
16,12,27,6,35,8.284006392692973
21,7,44,7,46,17.067227804453182
19,13,27,4,20,12.688096175308376
15,10,57,6,31,16.136074580496967
20,10,49,10,22,17.887464577154766
28,8,64,17,36,19.831618289955024
23,14,48,4,20,23.15793111633161
21,12,52,13,28,26.702707077674035
19,13,47,8,32,22.747564791732337
28,8,41,8,36,17.91172743424279
19,12,45,9,28,25.388136989565506
26,11,37,7,26,18.54009246946727
21,7,53,9,27,21.40654175034313
10,8,46,8,25,10.17245954943456
24,10,48,10,32,13.882403579839032
18,16,78,8,27,23.312819992623897
20,9,45,9,25,27.460711704360808
18,13,53,5,23,19.935839785106214
23,12,49,10,28,26.863370494530386
16,14,61,10,29,23.73876153866656
14,16,52,7,22,13.793382429558072
20,10,47,12,26,18.65844442757473
27,11,72,6,22,26.794207046955428
21,20,41,10,31,28.394634515020208
14,7,48,9,34,16.92321928154978
20,10,59,5,34,9.157860538499147
16,9,41,8,28,20.021119414253967
16,10,57,11,28,23.37549080303413
21,9,45,5,23,20.07851650817597
24,15,60,12,27,9.841528274452637
20,7,59,5,37,18.468763504398037
19,7,49,8,28,8.864180583800183
15,12,39,12,31,16.723510610929754
18,13,46,2,35,23.232182233157786
22,10,49,7,38,25.465021172965987
23,11,58,2,32,21.26049553179602
16,12,53,6,28,25.450213002808773
24,10,55,7,34,23.71208526992679
22,8,53,9,34,28.474016482409453
13,6,58,11,23,20.982621310549174
25,10,47,8,28,22.232479769836647
22,9,51,7,25,14.390020366137541
17,2,50,8,24,7.9188120937793585
16,8,45,8,41,17.128919747183687
15,14,60,10,16,17.44379269519972
19,11,59,7,27,18.53707213095448
25,10,62,10,32,26.413356779886445
17,11,42,6,33,24.808374814846964
21,7,53,6,30,26.915489930234802
22,11,60,6,30,13.936459606835157
21,9,65,9,23,22.064393248011875
24,7,34,7,25,18.96941359102518
26,11,49,6,31,15.81416644386282
19,9,48,8,33,11.268466376579628
17,7,65,10,31,12.734746531882449
22,6,27,8,32,8.901549486294297
15,12,39,2,40,14.190380562365823
14,7,64,12,27,21.50850903773517
17,10,45,13,31,17.465781998174165
22,9,36,12,32,13.55094168802395
16,12,65,6,32,12.697849064565405
26,6,35,10,29,17.208039707602754
21,8,60,7,34,20.288359156808905
19,8,34,3,33,11.329163089825517
20,9,35,10,32,15.832607086237816
15,9,52,6,24,15.36740782631503
12,8,41,10,32,21.965087536204564
16,9,52,7,35,17.64620117161366
17,8,68,9,34,16.01842689277906
23,14,48,5,20,33.455391172804745
21,9,66,9,33,15.85545816973659
23,5,53,4,33,22.65524146737016
21,17,59,10,28,18.244894308318294
20,4,26,3,35,10.061427048170529
18,10,56,6,24,8.00318048035138
13,9,54,6,31,20.600463667324544
23,9,46,9,26,14.33885009203091
23,6,68,7,29,25.640827026327397
16,12,45,9,28,17.568499241951187
24,10,33,9,31,19.661228003249754
17,11,57,11,32,26.407929805410774
18,6,35,3,33,22.852498791949987
28,7,50,13,23,23.904664835312897
30,9,63,11,29,28.507290472622678
15,10,54,12,29,19.968541596310953
26,10,47,2,31,13.374826372149851
24,7,46,12,27,25.823228973089268
16,8,62,14,26,20.559953955851473
29,8,37,9,25,22.21850232380434
15,7,57,8,22,16.586789669701755
27,9,71,10,29,26.321356963926227
23,10,55,8,26,19.196871354617425
29,7,47,5,35,26.37674907330102
17,11,48,6,28,22.415151567603687
16,7,45,8,24,13.183747213871857
12,4,43,12,20,13.238075193359855
18,10,51,7,36,21.99231162152651
11,17,56,2,32,9.066809161616918
20,5,66,8,33,17.04781619421649
17,12,30,7,34,17.149450038619687
26,9,25,7,33,15.848845129642088
16,12,66,5,29,20.94581470751851
26,13,50,8,22,15.363492009645444
26,8,51,15,19,20.224890835957794
24,10,55,8,27,11.966790463467614
20,9,48,7,34,16.999055570671324
24,8,69,5,23,19.9508556467096
19,10,54,9,27,14.216535155365396
16,10,45,3,30,18.546628108538936
18,11,46,5,27,19.37355212387973
17,9,48,9,30,21.778402450050677
9,4,42,8,31,3.8395265581589513
18,6,66,10,26,23.348813077470968
24,7,51,5,35,24.7018679564244
19,11,38,8,29,21.872772153903025
29,10,54,5,28,19.238132829945474
21,6,64,13,29,18.92156183515405
29,7,60,6,29,19.81118900125989
21,11,42,10,33,21.48505577692212
16,8,38,7,29,12.494004873453227
16,13,64,7,29,14.78843929438977
24,5,33,9,35,15.737479402844997
19,11,53,5,30,23.903466545257086
23,12,44,8,34,13.526580718010933
25,9,63,7,36,27.07242470574819
16,8,39,10,36,12.737812504894665
21,7,42,6,34,28.243467806121583
13,8,56,9,27,24.430419496545007
17,7,57,6,32,27.380059134287073
22,6,63,8,22,14.52062036130813
13,13,54,5,13,16.990744848143134
18,10,53,11,32,16.318189335988297
23,12,60,15,22,17.97877556368125
12,8,36,6,24,16.6929651076076
22,16,41,7,32,18.99262568461064
25,9,37,11,19,19.5759889922175
20,5,23,6,27,14.110315614780523
25,7,58,10,26,13.897621953620813
22,9,64,9,32,25.841634701441134
17,12,55,9,28,27.242240720361334
24,11,53,10,31,30.917007154230866
23,11,50,7,35,16.873243763116967
22,12,50,7,33,14.518026763817181
15,12,66,13,23,13.920299133428404
26,11,65,5,27,21.704008714611348
25,14,44,8,35,34.63701950466807
18,11,61,10,35,20.547857112946453
15,11,62,8,27,23.623195407877052
25,15,56,7,31,20.974648113120118
22,7,53,7,28,17.346005966659167
22,12,53,10,30,14.851692767027856
24,11,35,7,33,22.848883231089893
24,11,34,13,30,17.44460010283329
32,13,57,9,30,24.58701892862989
23,8,38,9,27,24.657981619796978
17,13,36,6,28,9.849024901720693
18,9,29,12,32,16.078320416584184
23,10,45,7,25,20.926923938536312
24,13,53,7,22,20.63031712942973
20,12,54,5,31,13.121008593352148
22,8,58,11,34,20.218916101366396
19,11,46,10,36,28.403617581112755
15,13,51,6,28,18.757114539811965
23,17,58,8,29,19.82226303261756
12,8,54,13,27,14.795409510499377
22,5,44,12,32,21.77530063648151
30,13,52,5,29,29.632780995226533
19,7,30,5,33,23.594868001684652
19,11,50,8,34,16.11386100841274
19,8,43,7,33,26.87917074412829
27,10,65,5,21,20.748292374230292
16,8,40,9,33,21.767646131198042
22,4,51,7,29,21.97396493493109
26,8,45,2,24,24.1901009881769
33,10,44,16,31,33.715319992428725
24,13,53,6,30,27.740319292313757
14,16,45,6,25,20.00873726542594
28,10,68,9,29,29.746036154736323
24,8,30,7,35,13.736688348234857
14,8,56,4,34,9.072219061080228
22,13,49,5,30,16.260120834587205
16,12,49,11,31,14.388311200956453
11,11,53,8,30,16.769383982045255
17,11,59,7,21,20.486456771401595
17,12,52,6,28,17.170994385462073
18,9,60,10,40,21.939053111584784
21,6,50,12,31,25.6080080332511
24,8,39,7,35,18.5321758110121
20,11,49,5,15,17.41456052377103
14,6,61,5,27,20.741633791514023
22,8,45,7,31,16.516240792473614
21,14,39,8,25,19.021204535799907
18,8,56,13,31,9.741307574161826
13,7,53,5,26,7.707072324457876
7,10,42,7,26,20.52125277871845
19,8,47,13,31,27.94771373003041
21,10,48,4,32,11.502070894170156
24,14,50,6,26,17.56025791404567
15,9,56,11,28,26.72265554595563
22,15,45,11,34,23.07780368017766
23,7,56,8,21,18.65864448715398
18,16,44,10,28,24.48533476847003
21,11,66,7,29,30.20403741168032
19,9,66,14,29,22.535840656556005
20,17,41,5,19,12.195397965686558
12,6,37,4,28,14.34061053631221
16,9,59,11,40,26.629010470115567
26,9,52,8,28,27.65403363640287
15,13,55,8,28,7.0873457712613614
22,8,43,5,20,19.805219544052274
21,14,48,7,26,23.105198716902873
16,8,46,8,32,15.551949112192654
12,4,53,10,33,25.22267580754802
17,9,37,6,31,18.31373112334392
23,6,49,11,28,21.72717918757287
18,22,37,7,31,20.92520445716751
26,7,44,5,22,16.624362322388475
19,10,49,13,33,21.062856388893714
20,7,55,8,29,26.997453209138893
27,9,55,7,32,20.130080010909516
17,18,57,12,28,23.74734872416599
27,9,35,14,25,22.68404836325263
22,12,62,6,33,15.879730300762564
23,8,43,10,27,22.15288724304384
15,11,44,4,23,14.5334327445308
34,10,52,8,34,21.128705187544128
25,10,46,5,27,29.722419858056448
19,10,53,6,31,24.76025864297025
18,11,55,9,29,23.52647076723997
15,11,42,4,29,5.7656675657421275
33,11,48,3,27,17.7918395688521
22,9,48,6,30,20.44516971496367
24,9,59,4,25,20.595318985180093
33,8,45,8,33,22.10307976767387
16,7,44,10,35,14.380258682753034
15,13,39,8,37,14.32490847655031
18,5,40,12,41,16.351791068823704
19,9,36,12,38,16.50247203054129
22,8,42,7,28,16.980562551045917
15,14,65,9,29,15.515759772620665
22,13,56,11,25,13.256845993438446
21,11,62,14,32,27.498312224877573
16,15,40,6,25,19.805527393461137
17,8,30,5,32,5.91265968610416
20,11,53,5,26,14.384377488706594
9,9,68,15,30,22.763023747277003
19,16,45,7,34,22.271196576159156
17,12,51,5,30,24.54455621001836
9,5,34,5,34,15.63171560410837
19,6,50,7,32,20.141025846110036
20,10,48,8,29,26.179528133499062
14,7,29,6,22,19.01638186066877
17,8,39,5,29,17.5792670211026
16,14,38,7,33,24.773020036430598
33,9,34,11,24,30.373153180175894
22,12,42,6,40,19.5420844942226
26,10,55,9,33,19.239480670970288
29,5,43,10,30,8.913389287315743
20,11,61,4,21,23.430753009857487
26,18,46,9,29,21.26164404348876
23,10,53,7,24,26.52342639325505
16,10,54,7,30,17.118450595834297
18,14,65,10,32,22.873337658406946
13,9,42,13,37,23.421597704217774
21,9,54,6,37,10.90176478142288
26,9,40,11,27,23.739388109544514
18,14,67,8,26,20.50594060354159
24,10,39,12,32,21.332015065503434
24,8,53,6,29,11.816055801962374
25,8,65,10,28,21.465703847599993
21,6,38,11,24,13.898846181075292
18,15,55,9,36,24.86066669626281
19,11,40,5,24,15.55103988704149
18,6,73,12,34,19.896674520173722
16,6,31,11,12,12.22201128118685
16,10,34,8,30,21.608972888111154
21,9,38,13,34,18.302397258636397
22,7,39,7,36,29.233265992034383
18,12,55,10,23,8.826846978717796
20,15,67,9,28,22.22224110936207
18,10,61,6,33,23.13549818116826
21,14,52,7,36,21.992903063852296
21,13,50,6,29,11.584939963022432
31,12,43,8,26,23.78375459250176
15,7,53,14,34,14.528274827313588
18,10,47,13,30,16.97202860426466
20,13,51,13,28,19.368784336478473
17,10,42,8,34,18.613692961971456
24,13,37,5,28,22.647966067880652
17,15,50,8,34,25.609047640631147
23,13,50,8,28,14.266276992612351
19,12,44,15,32,17.953657822208346
15,8,42,4,42,7.201745719999291
15,14,55,8,26,18.81205234067629
23,15,54,9,15,17.078776007205764
21,15,68,6,28,28.304700912573935
32,12,63,10,36,30.263262015799075
24,10,38,9,30,27.002165770134834
30,15,48,9,25,28.18555458273989
16,16,36,4,49,21.382256489134033
21,13,31,4,26,19.97078923169003
18,11,71,11,29,22.634383720445054
24,8,64,9,21,9.059623645579855
25,12,43,7,30,18.15104025241654
22,10,62,7,23,14.957280724624507
22,12,63,10,37,33.552235914555524
21,13,30,16,25,8.905436080315123
16,14,58,9,30,18.083793903995947
21,14,45,10,31,25.10749475195031
16,9,53,10,31,26.16010195273416
21,14,80,16,33,16.055790481929975
23,8,65,8,33,31.731910019988348
19,11,48,3,29,21.910684418615894
14,12,64,3,23,19.03005766705111
23,9,30,7,25,13.238187162106076
17,10,55,11,29,24.150918721668788
15,5,55,15,30,16.46154817630595
16,8,57,9,25,18.893661520083434
12,12,44,8,23,16.607867340523693
12,12,53,7,46,25.34280358888388
16,12,58,7,27,18.780023646431875
26,14,26,7,29,29.62618531428729
20,11,46,11,34,28.888921734237943
18,9,40,10,32,20.991485308620472
21,10,56,5,26,18.45509712487035
19,17,63,7,33,23.591551429621138
15,19,43,8,36,22.64905198437622
16,12,39,9,27,16.57541886970934
13,13,51,8,35,25.40485504760122
24,5,38,6,33,18.57715661172404
22,8,47,12,28,12.901703089913855
28,11,46,7,28,19.085679608438667
19,10,55,8,41,16.032866907204756
20,11,53,8,34,16.29393576302708
20,14,51,5,27,18.204413585065833
13,6,66,6,25,11.32968703563445
14,4,52,11,22,27.08079314218794
24,7,45,8,24,16.707458774598788
17,11,47,3,33,9.642188591597721
13,8,42,7,32,23.327905959487214
21,9,39,8,27,21.210725834402556
19,10,36,7,31,14.111756351885521
21,7,61,5,18,9.953538606461704
28,6,42,11,34,28.319852884444593
14,9,53,10,38,22.95414507816921
18,6,47,6,33,12.650797090424769
24,13,49,8,31,18.52299808823735
12,9,61,8,33,28.006205972797193
15,11,51,4,17,18.39177253502967
22,10,40,3,32,17.410879897937715
28,11,44,6,25,16.207983727192104
21,9,58,2,36,23.051049607655145
15,12,54,6,34,22.17694787975302
19,10,59,10,34,19.610052159429266
18,10,47,9,27,14.4920280637212
32,8,36,8,25,16.733082629457503
17,9,55,6,33,18.407525351555023
19,8,52,8,27,15.430985785061093
22,12,52,9,25,28.49120797051919
22,11,36,10,23,14.831085162148074
15,13,43,3,39,12.731895547964363
24,11,40,10,26,12.984717286764445
11,8,53,7,34,24.41005047165002
14,6,54,5,28,9.655327798937932
17,11,49,4,27,17.195318702011146
23,8,59,9,36,20.804581944539503
25,16,64,4,31,28.245226303222513
17,6,53,8,32,18.556392576215902
20,10,56,7,33,24.32435669839708
19,8,44,8,33,14.988764529102962
18,11,42,6,27,16.006696105688064
24,12,60,6,28,6.337650495291632
19,11,41,5,35,18.598457709693513
24,8,56,9,39,27.424245688184158
20,6,67,10,28,14.639488125355927
31,12,56,11,40,28.3510248457834
13,5,49,6,30,15.506772304801085
19,6,36,6,29,17.416766803723593
13,10,51,5,37,22.761595379124138
15,6,60,6,26,15.447981705881668
23,4,48,11,35,23.105459603594507
18,11,60,7,35,17.135660929645898
19,13,53,6,36,27.206754805984943
24,13,52,9,27,14.419946487877949
23,11,46,12,32,22.725163859088717
19,7,35,6,36,19.416438828861722
22,8,45,16,30,23.34848742281853
11,15,45,3,32,27.001868049754442
15,13,55,6,24,18.48845291991907
20,6,49,9,27,15.921530943317698
9,9,60,6,23,5.666700594282473
23,13,52,5,30,18.10820924040585
12,6,44,7,32,9.417001716152988
18,7,41,8,44,18.6462126604273
18,15,43,4,19,19.944525545154708
22,12,51,7,30,23.942349406308253
15,8,46,6,29,19.44853026619096
22,10,39,10,19,23.89144953705896
17,9,60,8,27,17.839821194521246
17,7,51,4,25,20.0279903990089
22,13,52,9,31,29.8141605945261
16,8,41,9,29,17.949506269853405
21,13,39,6,24,7.099204656380042
22,7,48,7,30,13.342951437643507
24,12,29,6,43,22.954864104248774
21,11,57,6,27,9.123658725580857
25,9,42,7,34,23.185310365896832
14,11,47,6,36,15.817714342674527
28,11,54,13,29,30.09315323486576
18,11,47,15,28,11.919645613865837
19,6,38,9,41,20.103014815832523
29,11,65,15,40,21.26921609158529
14,11,34,11,37,13.290368110786707
26,7,27,7,26,12.25744341955626
17,10,58,5,25,15.406267428297221
28,10,35,10,22,23.5171166241696
24,9,62,8,24,28.2062247225449
25,2,53,12,21,20.8887736099165
24,5,52,4,32,20.89557824053184
15,8,44,9,23,16.63913913030612
9,12,41,11,25,14.804010648850278
14,7,46,3,24,13.7781936719362
25,8,41,8,28,26.092583619579038
20,8,62,8,42,22.457576521679655
23,11,42,12,30,19.91243171901641
21,10,55,11,19,25.036251976144825
17,10,60,5,28,19.517592817361848
22,13,41,6,22,6.48719601344165
15,8,53,9,23,19.505607563933
13,10,41,6,27,15.597407565379632
24,9,48,13,32,22.08377681529591
21,8,45,8,33,26.378120483704073
21,14,43,11,34,25.38929640364382
18,11,51,5,24,12.979114067647004
21,5,37,8,34,21.183761034816396
24,10,59,3,27,29.237568133879265
23,6,39,11,33,31.611219514677188
31,6,37,6,30,12.746426408716957
18,7,47,12,38,15.171829745930848
17,11,46,5,26,12.756705227672406
19,3,53,8,29,28.089884698058448
26,11,50,5,36,26.39487384442082
18,10,33,10,30,16.38695308423019
23,9,59,9,26,20.55134175305678
22,6,47,8,29,17.404392685852375
24,8,52,13,38,19.085880157641242
21,7,72,12,22,18.472332897737033
22,13,62,12,28,26.191166369158907
21,11,52,6,34,18.282636559425317
21,11,36,10,29,21.703118844267166
22,11,36,8,37,22.795970882663127
17,12,61,9,27,15.042272707337105
20,9,45,5,32,13.867265187795248
11,10,48,5,37,17.603884176905268
24,7,38,4,35,19.363044898725583
24,14,54,6,22,15.315175082256168
19,15,61,7,36,30.69996224343786
18,10,65,6,30,21.556480802513256
13,7,45,14,25,13.66895766341641
21,10,56,7,26,11.744964443165122
22,16,49,7,26,27.701057167851616
22,9,58,8,25,23.257114690238776
14,8,49,10,35,19.15364395645441
25,13,41,13,40,28.186851529005256
21,14,63,6,30,22.31347185575428
15,9,50,11,37,13.087250118391538
18,5,46,7,36,13.953137216413213
17,9,51,6,24,4.230680038795917
17,8,42,10,28,23.260217687198455
